technology,dst_region,region,agent,sector,type,year,capacity
Small Hydropower Plant (<10MW),Brazil,Brazil,A1,power,retrofit,2040,8.04120000000
Solar PV (Distributed with Storage),Brazil,Brazil,A1,power,retrofit,2040,0.05470000000
Solar PV (Utility),Brazil,Brazil,A1,power,retrofit,2040,0.04540000000
Biomass Power Plant,Brazil,Brazil,A1,power,retrofit,2045,65.04190000000
Coal Power Plant,Brazil,Brazil,A1,power,retrofit,2045,21.97220000000
Gas Power Plant (CCGT),Brazil,Brazil,A1,power,retrofit,2045,102.22790000000
Gas Power Plant (SCGT),Brazil,Brazil,A1,power,retrofit,2045,3.80640000000
Large Hydropower Plant (Dam) (>100MW),Brazil,Brazil,A1,power,retrofit,2045,470.59380000000
Medium Hydropower Plant (10-100MW),Brazil,Brazil,A1,power,retrofit,2045,36.66190000000
Nuclear Power Plant,Brazil,Brazil,A1,power,retrofit,2045,10.54750000000
Oil Fired Gas Turbine (SCGT),Brazil,Brazil,A1,power,retrofit,2045,71.04020000000
Onshore Wind,Brazil,Brazil,A1,power,retrofit,2045,60.30720000000
Small Hydropower Plant (<10MW),Brazil,Brazil,A1,power,retrofit,2045,5.62890000000
Solar PV (Distributed with Storage),Brazil,Brazil,A1,power,retrofit,2045,0.03830000000
Solar PV (Utility),Brazil,Brazil,A1,power,retrofit,2045,0.03180000000
Biomass Power Plant,Brazil,Brazil,A1,power,retrofit,2050,45.52930000000
Coal Power Plant,Brazil,Brazil,A1,power,retrofit,2050,15.38050000000
Coal Power Plant,Brazil,Brazil,A1,power,retrofit,2050,69.05150000000
Gas Power Plant (CCGT),Brazil,Brazil,A1,power,retrofit,2050,71.55960000000
Gas Power Plant (CCGT),Brazil,Brazil,A1,power,retrofit,2050,24.35510000000
Gas Power Plant (SCGT),Brazil,Brazil,A1,power,retrofit,2050,2.66450000000
Large Hydropower Plant (Dam) (>100MW),Brazil,Brazil,A1,power,retrofit,2050,329.41570000000
Medium Hydropower Plant (10-100MW),Brazil,Brazil,A1,power,retrofit,2050,25.66330000000
Nuclear Power Plant,Brazil,Brazil,A1,power,retrofit,2050,7.38330000000
Oil Fired Gas Turbine (SCGT),Brazil,Brazil,A1,power,retrofit,2050,49.72810000000
Onshore Wind,Brazil,Brazil,A1,power,retrofit,2050,42.21500000000
Small Hydropower Plant (<10MW),Brazil,Brazil,A1,power,retrofit,2050,3.94020000000
Solar PV (Distributed with Storage),Brazil,Brazil,A1,power,retrofit,2050,0.02680000000
Solar PV (Utility),Brazil,Brazil,A1,power,retrofit,2050,0.02230000000
