,year,generated,technology,Power Type
50,2039,0.46059747,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
51,2040,0.54576082,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
52,2041,0.69144645,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
53,2042,0.69144645,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
54,2043,1.6435183,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
55,2044,2.22,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
56,2045,2.22,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
57,2046,2.22,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
58,2047,2.22,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
59,2048,2.22,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
60,2049,2.22,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
61,2050,2.22,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
62,2020,0.2875,Light Fuel Oil Power Plant,Fossil fuel
63,2021,,Light Fuel Oil Power Plant,Fossil fuel
64,2022,,Light Fuel Oil Power Plant,Fossil fuel
65,2023,,Light Fuel Oil Power Plant,Fossil fuel
66,2024,,Light Fuel Oil Power Plant,Fossil fuel
67,2025,,Light Fuel Oil Power Plant,Fossil fuel
68,2026,,Light Fuel Oil Power Plant,Fossil fuel
69,2027,,Light Fuel Oil Power Plant,Fossil fuel
70,2028,,Light Fuel Oil Power Plant,Fossil fuel
71,2029,,Light Fuel Oil Power Plant,Fossil fuel
72,2030,,Light Fuel Oil Power Plant,Fossil fuel
73,2031,,Light Fuel Oil Power Plant,Fossil fuel
74,2032,,Light Fuel Oil Power Plant,Fossil fuel
75,2033,,Light Fuel Oil Power Plant,Fossil fuel
76,2034,,Light Fuel Oil Power Plant,Fossil fuel
77,2035,,Light Fuel Oil Power Plant,Fossil fuel
78,2036,,Light Fuel Oil Power Plant,Fossil fuel
79,2037,,Light Fuel Oil Power Plant,Fossil fuel
80,2038,,Light Fuel Oil Power Plant,Fossil fuel
81,2039,,Light Fuel Oil Power Plant,Fossil fuel
82,2040,,Light Fuel Oil Power Plant,Fossil fuel
83,2041,,Light Fuel Oil Power Plant,Fossil fuel
84,2042,,Light Fuel Oil Power Plant,Fossil fuel
85,2043,,Light Fuel Oil Power Plant,Fossil fuel
86,2044,,Light Fuel Oil Power Plant,Fossil fuel
87,2045,,Light Fuel Oil Power Plant,Fossil fuel
88,2046,,Light Fuel Oil Power Plant,Fossil fuel
89,2047,,Light Fuel Oil Power Plant,Fossil fuel
90,2048,,Light Fuel Oil Power Plant,Fossil fuel
91,2049,,Light Fuel Oil Power Plant,Fossil fuel
92,2050,,Light Fuel Oil Power Plant,Fossil fuel
93,2020,0.447,Oil Fired Gas Turbine (SCGT),Fossil fuel
94,2021,0.447,Oil Fired Gas Turbine (SCGT),Fossil fuel
95,2022,0.447,Oil Fired Gas Turbine (SCGT),Fossil fuel
96,2023,0.447,Oil Fired Gas Turbine (SCGT),Fossil fuel
97,2024,0.327,Oil Fired Gas Turbine (SCGT),Fossil fuel
98,2025,0.327,Oil Fired Gas Turbine (SCGT),Fossil fuel
99,2026,0.252,Oil Fired Gas Turbine (SCGT),Fossil fuel
100,2027,0.252,Oil Fired Gas Turbine (SCGT),Fossil fuel
101,2028,0.252,Oil Fired Gas Turbine (SCGT),Fossil fuel
102,2029,0.252,Oil Fired Gas Turbine (SCGT),Fossil fuel
103,2030,0.252,Oil Fired Gas Turbine (SCGT),Fossil fuel
104,2031,0.252,Oil Fired Gas Turbine (SCGT),Fossil fuel
105,2032,0.252,Oil Fired Gas Turbine (SCGT),Fossil fuel
106,2033,0.252,Oil Fired Gas Turbine (SCGT),Fossil fuel
107,2034,0.162,Oil Fired Gas Turbine (SCGT),Fossil fuel
108,2035,0.162,Oil Fired Gas Turbine (SCGT),Fossil fuel
109,2036,0.088,Oil Fired Gas Turbine (SCGT),Fossil fuel
110,2037,,Oil Fired Gas Turbine (SCGT),Fossil fuel
111,2038,,Oil Fired Gas Turbine (SCGT),Fossil fuel
112,2039,,Oil Fired Gas Turbine (SCGT),Fossil fuel
113,2040,,Oil Fired Gas Turbine (SCGT),Fossil fuel
114,2041,,Oil Fired Gas Turbine (SCGT),Fossil fuel
115,2042,,Oil Fired Gas Turbine (SCGT),Fossil fuel
116,2043,,Oil Fired Gas Turbine (SCGT),Fossil fuel
117,2044,,Oil Fired Gas Turbine (SCGT),Fossil fuel
118,2045,,Oil Fired Gas Turbine (SCGT),Fossil fuel
119,2046,,Oil Fired Gas Turbine (SCGT),Fossil fuel
120,2047,,Oil Fired Gas Turbine (SCGT),Fossil fuel
121,2048,,Oil Fired Gas Turbine (SCGT),Fossil fuel
122,2049,,Oil Fired Gas Turbine (SCGT),Fossil fuel
123,2050,,Oil Fired Gas Turbine (SCGT),Fossil fuel
124,2020,0.024,Solar PV (Utility),Intermittent renewables
125,2021,0.024,Solar PV (Utility),Intermittent renewables
126,2022,0.024,Solar PV (Utility),Intermittent renewables
127,2023,0.024,Solar PV (Utility),Intermittent renewables
128,2024,0.024,Solar PV (Utility),Intermittent renewables
129,2025,0.35937669,Solar PV (Utility),Intermittent renewables
130,2026,0.60059995,Solar PV (Utility),Intermittent renewables
131,2027,0.70137117,Solar PV (Utility),Intermittent renewables
132,2028,1.0455869,Solar PV (Utility),Intermittent renewables
133,2029,1.1216216,Solar PV (Utility),Intermittent renewables
134,2030,1.2028651,Solar PV (Utility),Intermittent renewables
135,2031,1.3694571,Solar PV (Utility),Intermittent renewables
136,2032,1.4673917,Solar PV (Utility),Intermittent renewables
137,2033,1.6925105,Solar PV (Utility),Intermittent renewables
138,2034,1.9185059,Solar PV (Utility),Intermittent renewables
139,2035,1.9185059,Solar PV (Utility),Intermittent renewables
140,2036,1.9185059,Solar PV (Utility),Intermittent renewables
141,2037,2.2680474,Solar PV (Utility),Intermittent renewables
142,2038,2.8609934,Solar PV (Utility),Intermittent renewables
143,2039,3.6450647,Solar PV (Utility),Intermittent renewables
144,2040,6.1781139,Solar PV (Utility),Intermittent renewables
145,2041,6.2865467,Solar PV (Utility),Intermittent renewables
146,2042,6.3069094,Solar PV (Utility),Intermittent renewables
147,2043,8.2571893,Solar PV (Utility),Intermittent renewables
148,2044,14.177101,Solar PV (Utility),Intermittent renewables
149,2045,18.605029,Solar PV (Utility),Intermittent renewables
150,2046,24.667592,Solar PV (Utility),Intermittent renewables
151,2047,26.237708,Solar PV (Utility),Intermittent renewables
152,2048,28.774591,Solar PV (Utility),Intermittent renewables
153,2049,30.569818,Solar PV (Utility),Intermittent renewables
154,2050,30.328595,Solar PV (Utility),Intermittent renewables
155,2020,0.31,Onshore Wind,Intermittent renewables
156,2021,0.31,Onshore Wind,Intermittent renewables
157,2022,0.31,Onshore Wind,Intermittent renewables
158,2023,0.31,Onshore Wind,Intermittent renewables
159,2024,0.31,Onshore Wind,Intermittent renewables
160,2025,0.31,Onshore Wind,Intermittent renewables
161,2026,0.31,Onshore Wind,Intermittent renewables
162,2027,0.31,Onshore Wind,Intermittent renewables
163,2028,0.31,Onshore Wind,Intermittent renewables
164,2029,0.31,Onshore Wind,Intermittent renewables
165,2030,0.31,Onshore Wind,Intermittent renewables
166,2031,0.31,Onshore Wind,Intermittent renewables
167,2032,0.31,Onshore Wind,Intermittent renewables
168,2033,0.31,Onshore Wind,Intermittent renewables
169,2034,0.31,Onshore Wind,Intermittent renewables
170,2035,1.8870161,Onshore Wind,Intermittent renewables
171,2036,3.2870137,Onshore Wind,Intermittent renewables
172,2037,4.8657519,Onshore Wind,Intermittent renewables
173,2038,6.0052183,Onshore Wind,Intermittent renewables
174,2039,7.6406149,Onshore Wind,Intermittent renewables
175,2040,8.6491088,Onshore Wind,Intermittent renewables
176,2041,9.7218158,Onshore Wind,Intermittent renewables
177,2042,11.292062,Onshore Wind,Intermittent renewables
178,2043,11.762402,Onshore Wind,Intermittent renewables
179,2044,12.685659,Onshore Wind,Intermittent renewables
180,2045,17.980443,Onshore Wind,Intermittent renewables
181,2046,18.443713,Onshore Wind,Intermittent renewables
182,2047,20.093133,Onshore Wind,Intermittent renewables
183,2048,22.035906,Onshore Wind,Intermittent renewables
184,2049,24.520485,Onshore Wind,Intermittent renewables
185,2050,27.057185,Onshore Wind,Intermittent renewables
186,2020,,Utility scale PV with 2 hour storage,Utility scale PV with 2 hour storage
187,2021,,Utility scale PV with 2 hour storage,Utility scale PV with 2 hour storage
188,2022,,Utility scale PV with 2 hour storage,Utility scale PV with 2 hour storage
189,2023,,Utility scale PV with 2 hour storage,Utility scale PV with 2 hour storage
190,2024,,Utility scale PV with 2 hour storage,Utility scale PV with 2 hour storage
191,2025,,Utility scale PV with 2 hour storage,Utility scale PV with 2 hour storage
192,2026,,Utility scale PV with 2 hour storage,Utility scale PV with 2 hour storage
193,2027,,Utility scale PV with 2 hour storage,Utility scale PV with 2 hour storage
194,2028,,Utility scale PV with 2 hour storage,Utility scale PV with 2 hour storage
195,2029,,Utility scale PV with 2 hour storage,Utility scale PV with 2 hour storage
196,2030,,Utility scale PV with 2 hour storage,Utility scale PV with 2 hour storage
197,2031,,Utility scale PV with 2 hour storage,Utility scale PV with 2 hour storage
198,2032,,Utility scale PV with 2 hour storage,Utility scale PV with 2 hour storage
199,2033,,Utility scale PV with 2 hour storage,Utility scale PV with 2 hour storage
200,2034,,Utility scale PV with 2 hour storage,Utility scale PV with 2 hour storage
201,2035,,Utility scale PV with 2 hour storage,Utility scale PV with 2 hour storage
202,2036,,Utility scale PV with 2 hour storage,Utility scale PV with 2 hour storage
203,2037,,Utility scale PV with 2 hour storage,Utility scale PV with 2 hour storage
204,2038,,Utility scale PV with 2 hour storage,Utility scale PV with 2 hour storage
205,2039,,Utility scale PV with 2 hour storage,Utility scale PV with 2 hour storage
206,2040,,Utility scale PV with 2 hour storage,Utility scale PV with 2 hour storage
207,2041,,Utility scale PV with 2 hour storage,Utility scale PV with 2 hour storage
208,2042,,Utility scale PV with 2 hour storage,Utility scale PV with 2 hour storage
209,2043,,Utility scale PV with 2 hour storage,Utility scale PV with 2 hour storage
210,2044,,Utility scale PV with 2 hour storage,Utility scale PV with 2 hour storage
211,2045,,Utility scale PV with 2 hour storage,Utility scale PV with 2 hour storage
212,2046,1.9385921,Utility scale PV with 2 hour storage,Utility scale PV with 2 hour storage
213,2047,6.6621336,Utility scale PV with 2 hour storage,Utility scale PV with 2 hour storage
214,2048,11.695909,Utility scale PV with 2 hour storage,Utility scale PV with 2 hour storage
215,2049,23.605237,Utility scale PV with 2 hour storage,Utility scale PV with 2 hour storage
216,2050,23.605237,Utility scale PV with 2 hour storage,Utility scale PV with 2 hour storage
217,2020,0.006435,Off-grid Hydropower,Non-intermittent renewables
218,2021,0.006435,Off-grid Hydropower,Non-intermittent renewables
219,2022,0.006435,Off-grid Hydropower,Non-intermittent renewables
220,2023,0.006435,Off-grid Hydropower,Non-intermittent renewables
221,2024,0.006435,Off-grid Hydropower,Non-intermittent renewables
222,2025,0.006435,Off-grid Hydropower,Non-intermittent renewables
223,2026,0.006435,Off-grid Hydropower,Non-intermittent renewables
224,2027,0.006435,Off-grid Hydropower,Non-intermittent renewables
225,2028,0.006435,Off-grid Hydropower,Non-intermittent renewables
226,2029,0.006435,Off-grid Hydropower,Non-intermittent renewables
227,2030,0.006435,Off-grid Hydropower,Non-intermittent renewables
228,2031,0.006435,Off-grid Hydropower,Non-intermittent renewables
229,2032,0.006435,Off-grid Hydropower,Non-intermittent renewables
230,2033,0.006435,Off-grid Hydropower,Non-intermittent renewables
231,2034,0.006435,Off-grid Hydropower,Non-intermittent renewables
232,2035,0.006435,Off-grid Hydropower,Non-intermittent renewables
233,2036,0.006435,Off-grid Hydropower,Non-intermittent renewables
234,2037,0.006435,Off-grid Hydropower,Non-intermittent renewables
235,2038,0.006435,Off-grid Hydropower,Non-intermittent renewables
236,2039,0.006435,Off-grid Hydropower,Non-intermittent renewables
237,2040,0.006435,Off-grid Hydropower,Non-intermittent renewables
238,2041,0.006435,Off-grid Hydropower,Non-intermittent renewables
239,2042,0.006435,Off-grid Hydropower,Non-intermittent renewables
240,2043,0.006435,Off-grid Hydropower,Non-intermittent renewables
241,2044,0.006435,Off-grid Hydropower,Non-intermittent renewables
242,2045,0.006435,Off-grid Hydropower,Non-intermittent renewables
243,2046,0.006435,Off-grid Hydropower,Non-intermittent renewables
244,2047,0.006435,Off-grid Hydropower,Non-intermittent renewables
245,2048,0.006435,Off-grid Hydropower,Non-intermittent renewables
246,2049,0.006435,Off-grid Hydropower,Non-intermittent renewables
247,2050,0.003096,Off-grid Hydropower,Non-intermittent renewables
248,2020,0.03784,Solar PV (Distributed with Storage),Intermittent renewables
249,2021,0.03784,Solar PV (Distributed with Storage),Intermittent renewables
250,2022,0.03784,Solar PV (Distributed with Storage),Intermittent renewables
251,2023,0.03784,Solar PV (Distributed with Storage),Intermittent renewables
252,2024,0.03784,Solar PV (Distributed with Storage),Intermittent renewables
253,2025,0.03784,Solar PV (Distributed with Storage),Intermittent renewables
254,2026,0.03784,Solar PV (Distributed with Storage),Intermittent renewables
255,2027,0.03784,Solar PV (Distributed with Storage),Intermittent renewables
256,2028,0.03784,Solar PV (Distributed with Storage),Intermittent renewables
257,2029,0.03784,Solar PV (Distributed with Storage),Intermittent renewables
258,2030,0.03783,Solar PV (Distributed with Storage),Intermittent renewables
259,2031,0.037676,Solar PV (Distributed with Storage),Intermittent renewables
260,2032,0.037676,Solar PV (Distributed with Storage),Intermittent renewables
261,2033,0.037676,Solar PV (Distributed with Storage),Intermittent renewables
262,2034,0.0369,Solar PV (Distributed with Storage),Intermittent renewables
263,2035,0.03495,Solar PV (Distributed with Storage),Intermittent renewables
264,2036,0.031173,Solar PV (Distributed with Storage),Intermittent renewables
265,2037,0.02228,Solar PV (Distributed with Storage),Intermittent renewables
266,2038,0.008247,Solar PV (Distributed with Storage),Intermittent renewables
267,2039,0.007155,Solar PV (Distributed with Storage),Intermittent renewables
268,2040,0.001,Solar PV (Distributed with Storage),Intermittent renewables
269,2041,0.001,Solar PV (Distributed with Storage),Intermittent renewables
270,2042,,Solar PV (Distributed with Storage),Intermittent renewables
271,2043,,Solar PV (Distributed with Storage),Intermittent renewables
272,2044,,Solar PV (Distributed with Storage),Intermittent renewables
273,2045,,Solar PV (Distributed with Storage),Intermittent renewables
274,2046,,Solar PV (Distributed with Storage),Intermittent renewables
275,2047,,Solar PV (Distributed with Storage),Intermittent renewables
276,2048,,Solar PV (Distributed with Storage),Intermittent renewables
277,2049,,Solar PV (Distributed with Storage),Intermittent renewables
278,2050,,Solar PV (Distributed with Storage),Intermittent renewables
279,2020,0.09,Biomass Power Plant,Non-intermittent renewables
280,2021,0.09,Biomass Power Plant,Non-intermittent renewables
281,2022,0.09,Biomass Power Plant,Non-intermittent renewables
282,2023,0.09,Biomass Power Plant,Non-intermittent renewables
283,2024,0.09,Biomass Power Plant,Non-intermittent renewables
284,2025,0.09,Biomass Power Plant,Non-intermittent renewables
285,2026,0.09,Biomass Power Plant,Non-intermittent renewables
286,2027,0.09,Biomass Power Plant,Non-intermittent renewables
287,2028,0.09,Biomass Power Plant,Non-intermittent renewables
288,2029,0.09,Biomass Power Plant,Non-intermittent renewables
289,2030,0.09,Biomass Power Plant,Non-intermittent renewables
290,2031,,Biomass Power Plant,Non-intermittent renewables
291,2032,,Biomass Power Plant,Non-intermittent renewables
292,2033,,Biomass Power Plant,Non-intermittent renewables
293,2034,,Biomass Power Plant,Non-intermittent renewables
294,2035,,Biomass Power Plant,Non-intermittent renewables
295,2036,,Biomass Power Plant,Non-intermittent renewables
296,2037,,Biomass Power Plant,Non-intermittent renewables
297,2038,,Biomass Power Plant,Non-intermittent renewables
298,2039,,Biomass Power Plant,Non-intermittent renewables
299,2040,,Biomass Power Plant,Non-intermittent renewables
300,2041,,Biomass Power Plant,Non-intermittent renewables
301,2042,,Biomass Power Plant,Non-intermittent renewables
302,2043,,Biomass Power Plant,Non-intermittent renewables
303,2044,,Biomass Power Plant,Non-intermittent renewables
304,2045,,Biomass Power Plant,Non-intermittent renewables
305,2046,,Biomass Power Plant,Non-intermittent renewables
306,2047,,Biomass Power Plant,Non-intermittent renewables
307,2048,,Biomass Power Plant,Non-intermittent renewables
308,2049,,Biomass Power Plant,Non-intermittent renewables
309,2050,,Biomass Power Plant,Non-intermittent renewables
310,2020,0.88831665,Geothermal Power Plant,Non-intermittent renewables
311,2021,1.239292,Geothermal Power Plant,Non-intermittent renewables
312,2022,1.5159973,Geothermal Power Plant,Non-intermittent renewables
313,2023,1.6440162,Geothermal Power Plant,Non-intermittent renewables
314,2024,1.9980757,Geothermal Power Plant,Non-intermittent renewables
315,2025,1.9980757,Geothermal Power Plant,Non-intermittent renewables
316,2026,2.0705669,Geothermal Power Plant,Non-intermittent renewables
317,2027,2.2132548,Geothermal Power Plant,Non-intermittent renewables
318,2028,2.4832585,Geothermal Power Plant,Non-intermittent renewables
319,2029,2.6842852,Geothermal Power Plant,Non-intermittent renewables
320,2030,2.9059888,Geothermal Power Plant,Non-intermittent renewables
321,2031,3.1527946,Geothermal Power Plant,Non-intermittent renewables
322,2032,3.3770889,Geothermal Power Plant,Non-intermittent renewables
323,2033,3.5933156,Geothermal Power Plant,Non-intermittent renewables
324,2034,3.5933156,Geothermal Power Plant,Non-intermittent renewables
325,2035,3.5933156,Geothermal Power Plant,Non-intermittent renewables
326,2036,3.5933156,Geothermal Power Plant,Non-intermittent renewables
327,2037,3.5933156,Geothermal Power Plant,Non-intermittent renewables
328,2038,3.5933156,Geothermal Power Plant,Non-intermittent renewables
329,2039,3.4533156,Geothermal Power Plant,Non-intermittent renewables
330,2040,3.1743156,Geothermal Power Plant,Non-intermittent renewables
331,2041,3.1743156,Geothermal Power Plant,Non-intermittent renewables
332,2042,3.1743156,Geothermal Power Plant,Non-intermittent renewables
333,2043,2.9292778,Geothermal Power Plant,Non-intermittent renewables
334,2044,2.8167939,Geothermal Power Plant,Non-intermittent renewables
335,2045,2.7049989,Geothermal Power Plant,Non-intermittent renewables
336,2046,2.3540236,Geothermal Power Plant,Non-intermittent renewables
337,2047,2.772888,Geothermal Power Plant,Non-intermittent renewables
338,2048,3.1954274,Geothermal Power Plant,Non-intermittent renewables
339,2049,3.9406981,Geothermal Power Plant,Non-intermittent renewables
340,2050,7.93847,Geothermal Power Plant,Non-intermittent renewables
